"Camperdown","Camperdown Country Park",56.483681,-3.030896
"Cannock Chase Forest juniors","Cannock Chase Forest",52.751878,-1.969309
"Cannock Chase","Cannock Chase",52.73744,-1.99542
"Cannon Hill juniors","Cannon Hill Park",52.449976,-1.904225
"Cannon Hill","Cannon Hill, Birmingham",52.452637,-1.89997
"Canons Park","Canons Park",51.612291,-0.296184
"Canterbury","The Pavillion",51.299468,1.057002
"Cape Pembroke Lighthouse","Cape Pembroke Lighthouse",-51.683211,-57.757716
"Cardiff juniors","Llandaff Fields",51.489617,-3.204035
"Cardiff","Cardiff Blackweir",51.49736,-3.207107
"Carlingwark Loch","Carlingwark Loch",54.934903,-3.927163
"Carlisle Park","Carlisle Park",55.165172,-1.691159
"Carlisle juniors","Bitts Park",54.899555,-2.936575
"Carlisle","Chances Park",54.886025,-2.963455
"Carmarthen juniors","Carmarthen Park",51.854169,-4.315982
"Carrickfergus","Amphitheatre Wellness Centre",54.719992,-5.805285
"Cassiobury juniors","Cassiobury Park",51.658524,-0.413769
"Cassiobury","Cassiobury Park",51.657677,-0.406335
"Castle Park","Castle Park",51.87167,0.164165
"Castle Playing Fields juniors","Castle Playing Fields",52.085098,0.416726
"Castle Woods","Castle Woods",57.076082,-2.784634
"Castlewellan","Castlewellan Forest Park",54.262147,-5.95386
"Catford","Mountsfield Park",51.44824,-0.00863
"Catton","Catton Park",52.656696,1.295507
"Central Park juniors","Central Park",52.584576,-0.235072
"Central Park juniors, Boston","Central Park",52.981397,-0.022603
"Central, Plymouth","Central Park",50.385099,-4.151031
"Centre Vale","Centre Vale Park",53.718272,-2.102438
"Chadderton Hall","Chadderton Hall Park",53.554066,-2.158552
"Chalkwell Beach","Chalkwell Beach",51.536925,0.676231
"Charlton","Charlton Park",51.480751,0.041628
"Chasewater","Chasewater Country Park",52.661987,-1.944407
"Cheadle Hulme","Bruntwood Park, Cheadle",53.379026,-2.210652
"Cheddar juniors","Kings Fitness and Leisure",51.273808,-2.77921
"Chelmsford Central","Central Park",51.732577,0.464945
"Chelmsford juniors","Central Park",51.733083,0.466286
"Cheltenham juniors","The Park",51.886492,-2.088862
"Cheltenham","Pittville Park",51.911754,-2.07824
"Cheshunt juniors","Cheshunt Park",51.715497,-0.04912
"Chester","Countess of Chester Country Park",53.207796,-2.902368
"Chevin Forest","Chevin Forest Park",53.894133,-1.665858
"Chichester juniors","Priory Park",50.839693,-0.776619
"Chichester","Oaklands Park",50.846182,-0.777535
"Chilton Fields","Chilton Fields",52.197076,0.975934
"Chippenham Playing Fields, Monmouth","Chippenham Playing Fields",51.80783,-2.718161
"Chippenham juniors","Monkton Park",51.460235,-2.111954
"Chippenham","Monkton Park",51.460469,-2.113119
"Chipping Norton School","Chipping Norton School",51.93812,-1.54029
"Chipping Sodbury","The Ridings",51.544366,-2.397165
"Chopwell Wood","Chopwell Wood",54.922026,-1.790884
"Christie","Christie",55.123837,-6.671908
"Church Mead","Church Mead",51.667191,-0.614472
"Churchill Gardens juniors","Churchill Gardens Leisure Centre",51.062559,-1.790559
"Cirencester","Royal Agricultural University",51.711207,-1.99109
"Citypark","Citypark Park, Craigavon",54.451093,-6.386002
"Clacton Seafront","Clacton Seafront",51.781574,1.142974
"Clacton juniors","Clacton Seafront",51.781588,1.142953
"Clair","Clair Park",51.004322,-0.100143
"Clapham Common","Clapham Common",51.455873,-0.151331
"Clare Castle","Clare Castle Country Park",52.076428,0.581882
"Clarence","Clarence Park",53.604665,-2.289921
"Cleethorpes","Cleethorpes Country Park",53.541552,-0.025384
"Clevedon Salthouse Fields","Clevedon Salthouse Park",51.434573,-2.866505
"Clevedon Seafront juniors","Clevedon Seafront",51.439169,-2.864385
"Cliff Park juniors","Cliff Park,",51.937792,1.28484
"Cliffe Castle","Cliffe Castle Park",53.874658,-1.913364
"Clifton","Clifton Playing Fields",52.907144,-1.163033
"Clitheroe Castle juniors","Clitheroe Castle Gardens",53.870606,-2.394122
